created_at;comment_id;user_id
1 Январь, 2024, 21:08;40 845;ee48a8c4-517f-2f9e-484a-003d05b41beb
1 Январь, 2024, 22:56;40 845;e079cc77-003c-082b-e97d-c26d8aa885d0
2 Январь, 2024, 01:04;40 851;fa58a8e0-d454-0ccb-dd9f-ea1c71ccade4
2 Январь, 2024, 06:04;40 845;11671dc7-5406-0704-01c4-b0ed022e95c2
2 Январь, 2024, 10:26;40 851;70344ca5-68e6-fc38-c331-c76007f1865c
2 Январь, 2024, 10:35;40 843;5eae0b6e-9a4e-f182-bfb0-56f75de941ca
2 Январь, 2024, 10:35;40 845;5eae0b6e-9a4e-f182-bfb0-56f75de941ca
2 Январь, 2024, 13:01;40 845;07a0866f-0021-bf14-8228-425a6cc6d5a2
3 Январь, 2024, 14:27;40 870;5c6788d1-9d4a-6bbe-cdc8-57a763a748a9
3 Январь, 2024, 17:01;40 880;d52a40ee-fcf1-7285-4de4-bd7d89fcae8f
3 Январь, 2024, 20:34;40 880;683ad6df-7799-da29-1715-ecae9ec6318a
4 Январь, 2024, 00:49;40 870;2fbca71d-5082-bcd4-aaa7-307484ab93b2
4 Январь, 2024, 01:49;40 875;a6802dbf-c995-8787-e9b1-45ddd26421d4
4 Январь, 2024, 03:09;40 885;e808aef6-30af-9fcf-d81c-40be7650c01b
4 Январь, 2024, 06:53;40 891;bff5116e-4fe3-5c8c-c507-4b676a00a0eb
4 Январь, 2024, 09:00;40 891;bd3b847a-3cde-7861-9d03-54b23d0c58f8
4 Январь, 2024, 10:06;40 893;059a1960-bdb1-c0a5-9a59-281716267699
4 Январь, 2024, 10:07;40 892;059a1960-bdb1-c0a5-9a59-281716267699
4 Январь, 2024, 10:07;40 891;059a1960-bdb1-c0a5-9a59-281716267699
4 Январь, 2024, 10:07;40 889;059a1960-bdb1-c0a5-9a59-281716267699
4 Январь, 2024, 10:07;40 886;059a1960-bdb1-c0a5-9a59-281716267699
4 Январь, 2024, 10:57;40 880;c6f87876-03fe-2bba-978f-f900a098ca44
4 Январь, 2024, 12:24;40 893;146d3130-2714-063d-6a46-4dba473ca8d8
4 Январь, 2024, 13:02;40 891;08b3d911-b0b1-64d4-0474-56bdb5862f8c
4 Январь, 2024, 13:34;40 897;683ad6df-7799-da29-1715-ecae9ec6318a
4 Январь, 2024, 13:35;40 899;683ad6df-7799-da29-1715-ecae9ec6318a
4 Январь, 2024, 16:36;40 903;059a1960-bdb1-c0a5-9a59-281716267699
4 Январь, 2024, 18:16;40 903;4f28ee1a-fb07-ca74-d6f8-e9d508fea3f8
4 Январь, 2024, 18:16;40 893;4f28ee1a-fb07-ca74-d6f8-e9d508fea3f8
4 Январь, 2024, 18:17;40 892;4f28ee1a-fb07-ca74-d6f8-e9d508fea3f8
4 Январь, 2024, 18:17;40 891;4f28ee1a-fb07-ca74-d6f8-e9d508fea3f8
4 Январь, 2024, 18:17;40 889;4f28ee1a-fb07-ca74-d6f8-e9d508fea3f8
4 Январь, 2024, 18:17;40 886;4f28ee1a-fb07-ca74-d6f8-e9d508fea3f8
4 Январь, 2024, 18:41;40 905;951fe9ef-d6f6-ab3d-5536-2705a626cfc2
4 Январь, 2024, 18:53;40 886;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
4 Январь, 2024, 18:53;40 889;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
4 Январь, 2024, 18:54;40 891;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
4 Январь, 2024, 18:54;40 892;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
4 Январь, 2024, 18:54;40 893;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
4 Январь, 2024, 18:54;40 903;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
4 Январь, 2024, 18:54;40 905;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
4 Январь, 2024, 19:59;40 910;4f28ee1a-fb07-ca74-d6f8-e9d508fea3f8
4 Январь, 2024, 19:59;40 905;4f28ee1a-fb07-ca74-d6f8-e9d508fea3f8
4 Январь, 2024, 22:47;40 905;059a1960-bdb1-c0a5-9a59-281716267699
4 Январь, 2024, 22:57;40 896;5eae0b6e-9a4e-f182-bfb0-56f75de941ca
4 Январь, 2024, 23:00;40 905;36f47771-7863-963e-036c-7eb4cca3496a
4 Январь, 2024, 23:00;40 893;36f47771-7863-963e-036c-7eb4cca3496a
4 Январь, 2024, 23:22;40 918;3933de13-1f86-6fd9-2d0e-243a5832d58b
5 Январь, 2024, 02:26;40 905;2a15aebf-42c7-cbfa-6261-05c58e028c05
5 Январь, 2024, 04:16;40 918;0f503f3d-23cf-a402-a482-8defdc1939eb
5 Январь, 2024, 05:48;40 905;1457a323-6479-f9a5-4ac9-b883536eea4d
5 Январь, 2024, 05:48;40 892;1457a323-6479-f9a5-4ac9-b883536eea4d
5 Январь, 2024, 08:05;40 905;46363ab6-b86e-eb4b-84e4-1c25334bcb35
